"id","tot01Cln","tot06Cln","tot11Cln","totChange.06","engChange.06","forChange.06","totChange.11","engChange.11","forChange.11","relevant"
125011475,0,0,10,0,0,0,0,0,0,1
125021476,22583,22641,23520,0.26,-6.79,7.05,4.15,-10.79,14.94,0
125021477,16322,16531,18161,1.28,-4.03,5.31,11.27,-2.89,14.15,0
125021478,13569,13564,14851,-0.04,-5.09,5.06,9.45,-7.21,16.66,0
125031479,13975,14296,15664,2.3,-8.14,10.43,12.09,-10.53,22.61,0
125031480,11915,12087,13702,1.44,-2.16,3.6,15,-2.11,17.11,0
125031481,15307,15663,16657,2.33,-3.7,6.02,8.82,-3.89,12.71,0
125031482,20011,20132,22496,0.6,-3.44,4.04,12.42,0.67,11.74,0
125031483,14090,14721,16919,4.48,-6.81,11.28,20.08,-7.08,27.16,0
125031484,16001,16197,17749,1.22,-4.82,6.04,10.92,-6.23,17.16,0
125031485,20760,21972,23974,5.84,-2.23,8.07,15.48,-3.58,19.07,0
125031486,0,0,3,0,0,0,0,0,0,1
125031487,0,0,7,0,0,0,0,0,0,1
125041488,19682,21541,24089,9.45,-5.16,14.6,22.39,-10.27,32.66,0
125041489,14990,15619,18645,4.2,-3.29,7.48,24.38,0.81,23.57,0
125041490,7080,6942,7391,-1.95,-4.72,2.77,4.39,-5,9.39,0
125041491,13059,13908,17343,6.5,-2.01,8.51,32.8,-0.29,33.1,0
125041492,14961,17618,20862,17.76,1.97,15.79,39.44,0.62,38.82,0
125041493,17930,18655,19872,4.04,-1.99,6.03,10.83,-3.36,14.19,0
125041494,9413,9221,9932,-2.04,-4.09,2.05,5.51,-0.15,5.66,0
126011495,21187,21631,22731,2.1,-6.88,8.98,7.29,-11.76,19.04,0
126011496,17579,17480,18833,-0.56,-4.17,3.61,7.13,-1.91,9.04,0
126021497,20748,20644,22083,-0.5,-7.93,7.43,6.43,-11.61,18.05,0
126021498,12324,12492,12843,1.36,0.25,1.11,4.21,1.3,2.91,0
126021499,9271,9088,9357,-1.97,-1.97,0,0.93,-0.19,1.12,0
126021500,16223,16258,17900,0.22,-7,7.21,10.34,-8.75,19.09,0
126021501,11891,12020,11460,1.08,-3.14,4.22,-3.62,-9.43,5.8,0
126021502,22113,22415,24985,1.37,-0.7,2.07,12.99,1.4,11.59,0
126021503,13532,13995,16017,3.42,-1.31,4.73,18.36,-0.91,19.27,0
127011504,15364,14731,15197,-4.12,-7.3,3.18,-1.09,-9.82,8.73,0
127011505,7802,7922,9045,1.54,1.17,0.37,15.93,8.68,7.25,0
127011506,5567,5476,5835,-1.63,-1.13,-0.5,4.81,4.67,0.14,0
127011507,24997,26106,27678,4.44,-0.47,4.91,10.73,0.34,10.39,0
127011508,11309,15086,17947,33.4,14.7,18.7,58.7,23.53,35.17,0
127021509,15311,14628,14574,-4.46,-1.93,-2.53,-4.81,-2.14,-2.68,0
127021510,17890,17494,17704,-2.21,-1.12,-1.1,-1.04,-2.44,1.4,0
127021511,21009,20327,21991,-3.25,-0.99,-2.26,4.67,0.01,4.66,0
127021512,14657,14212,14898,-3.04,-5.19,2.16,1.64,-6.37,8.02,0
127021513,18022,17728,18550,-1.63,-2.98,1.35,2.93,-4.15,7.08,0
127021514,8982,9065,9156,0.92,1.26,-0.33,1.94,1.12,0.81,0
127021515,13324,13898,16163,4.31,0.54,3.77,21.31,1.97,19.34,0
127021516,15108,15452,16660,2.28,-4.67,6.94,10.27,-6.35,16.62,0
127021517,8371,7953,7697,-4.99,-3.38,-1.61,-8.05,-5.36,-2.69,0
127021518,3498,3883,3926,11.01,8.49,2.52,12.24,10.55,1.69,0
127021519,16008,15566,16164,-2.76,-1.57,-1.19,0.97,-2.65,3.62,0
127021520,10194,9789,10367,-3.97,-2.33,-1.64,1.7,-2.38,4.08,0
127021521,0,0,28,0,0,0,0,0,0,1
127031522,10678,12594,13721,17.94,4.32,13.63,28.5,4.32,24.18,0
127031523,14291,13526,14881,-5.35,-6.61,1.26,4.13,-4.93,9.05,0
127031524,16632,17475,19030,5.07,2.36,2.71,14.42,4.97,9.45,0
127031525,23224,22737,25545,-2.1,-3.11,1.01,9.99,-3.95,13.95,0
127031526,18109,20584,24616,13.67,1.61,12.06,35.93,6.48,29.45,0
