ColumName,Source,TimePeriod,Gender,Language,Include
SOL_Sinhalese_C01_M,10B,2001,male,Sinhalese,YES
SOL_Sinhalese_C01_F,10B,2001,female,Sinhalese,YES
SOL_Sinhalese_C01_P,10B,2001,all,Sinhalese,YES
SOL_Sinhalese_C06_M,10B,2006,male,Sinhalese,YES
SOL_Sinhalese_C06_F,10B,2006,female,Sinhalese,YES
SOL_Sinhalese_C06_P,10B,2006,all,Sinhalese,YES
SOL_Sinhalese_C11_M,10B,2011,male,Sinhalese,YES
SOL_Sinhalese_C11_F,10B,2011,female,Sinhalese,YES
SOL_Sinhalese_C11_P,10B,2011,all,Sinhalese,YES
SOL_Spanish_C01_M,10B,2001,male,Spanish,YES
SOL_Spanish_C01_F,10B,2001,female,Spanish,YES
SOL_Spanish_C01_P,10B,2001,all,Spanish,YES
SOL_Spanish_C06_M,10B,2006,male,Spanish,YES
SOL_Spanish_C06_F,10B,2006,female,Spanish,YES
SOL_Spanish_C06_P,10B,2006,all,Spanish,YES
SOL_Spanish_C11_M,10B,2011,male,Spanish,YES
SOL_Spanish_C11_F,10B,2011,female,Spanish,YES
SOL_Spanish_C11_P,10B,2011,all,Spanish,YES
SOL_Ta_in_Fi_C01_M,10B,2001,male,Tagalog,YES
SOL_Ta_in_Fi_C01_F,10B,2001,female,Tagalog,YES
SOL_Ta_in_Fi_C01_P,10B,2001,all,Tagalog,YES
SOL_Ta_in_Fi_C06_M,10B,2006,male,Tagalog,YES
SOL_Ta_in_Fi_C06_F,10B,2006,female,Tagalog,YES
SOL_Ta_in_Fi_C06_P,10B,2006,all,Tagalog,YES
SOL_Ta_in_Fi_C11_M,10B,2011,male,Tagalog,YES
SOL_Ta_in_Fi_C11_F,10B,2011,female,Tagalog,YES
SOL_Ta_in_Fi_C11_P,10B,2011,all,Tagalog,YES
SOL_Tamil_C01_M,10B,2001,male,Tamil,YES
SOL_Tamil_C01_F,10B,2001,female,Tamil,YES
SOL_Tamil_C01_P,10B,2001,all,Tamil,YES
SOL_Tamil_C06_M,10B,2006,male,Tamil,YES
SOL_Tamil_C06_F,10B,2006,female,Tamil,YES
SOL_Tamil_C06_P,10B,2006,all,Tamil,YES
SOL_Tamil_C11_M,10B,2011,male,Tamil,YES
SOL_Tamil_C11_F,10B,2011,female,Tamil,YES
SOL_Tamil_C11_P,10B,2011,all,Tamil,YES
SOL_Thai_C01_M,10B,2001,male,Thai,YES
SOL_Thai_C01_F,10B,2001,female,Thai,YES
SOL_Thai_C01_P,10B,2001,all,Thai,YES
SOL_Thai_C06_M,10B,2006,male,Thai,YES
SOL_Thai_C06_F,10B,2006,female,Thai,YES
SOL_Thai_C06_P,10B,2006,all,Thai,YES
SOL_Thai_C11_M,10B,2011,male,Thai,YES
SOL_Thai_C11_F,10B,2011,female,Thai,YES
SOL_Thai_C11_P,10B,2011,all,Thai,YES
